reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
v2.test.claim.body_lowering.atom_body_discriminator_witness.atom_body_discriminator_single_pass_receipt_holds				other	other	v2.test.claim.body_lowering.atom_body_discriminator_witness.atom_body_discriminator_single_pass_receipt_holds	witness receipt wall budget exceeded: 511ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.bootstrap.bootstrap_witness_keystone_holds				other	other	v2.test.claim.bootstrap.bootstrap_witness_keystone_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
v2.test.claim.byte_cardinality_grounding.byte_grounding_accepts_8_bits				other	other	v2.test.claim.byte_cardinality_grounding.byte_grounding_accepts_8_bits	non-exhaustive pattern match on: [1, 0, 1, 0, 1, 0, 1, 0]
v2.test.claim.byte_cardinality_grounding.byte_grounding_rejects_7_bits				other	other	v2.test.claim.byte_cardinality_grounding.byte_grounding_rejects_7_bits	non-exhaustive pattern match on: [1, 0, 1, 0, 1, 0, 1]
v2.test.claim.cardinality_fold_propagation.fold_within_bound_accepts				other	other	v2.test.claim.cardinality_fold_propagation.fold_within_bound_accepts	non-exhaustive pattern match on: 200
v2.test.claim.cardinality_fold_propagation.fold_overflow_rejects				other	other	v2.test.claim.cardinality_fold_propagation.fold_overflow_rejects	non-exhaustive pattern match on: 300
v2.test.claim.compilation_unit_witness.declared_fields_only_is_the_accepted_control				other	other	v2.test.claim.compilation_unit_witness.declared_fields_only_is_the_accepted_control	exceeded Cpu budget (786ms elapsed against 500ms)
v2.test.claim.compiler_materialization_witness (witness); bare=LocalInProcess				undefined_variable	reach_gap	v2.test.claim.compiler_materialization_witness.parse_table_carrier_inhabits_realization	undefined variable: LocalInProcess
v2.test.claim.compiler_materialization_witness (witness); bare=LocalInProcess				undefined_variable	reach_gap	v2.test.claim.compiler_materialization_witness.compile_stage_carrier_inhabits_realization	undefined variable: LocalInProcess
v2.test.claim.effect_reach_test.effect_reach_path_data_init_derived_host_reading_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_path_data_init_derived_host_reading_holds	eval budget exceeded: 3891ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_path_data_init_red_when_import_severed_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_path_data_init_red_when_import_severed_holds	eval budget exceeded: 2040ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_path_touch_selects_on_normalize_path_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_path_touch_selects_on_normalize_path_holds	eval budget exceeded: 1975ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_unrelated_path_does_not_select_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_unrelated_path_does_not_select_holds	eval budget exceeded: 1902ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_hermetic_fixture_stays_local_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_hermetic_fixture_stays_local_holds	eval budget exceeded: 1898ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_prose_string_path_does_not_classify_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_prose_string_path_does_not_classify_holds	eval budget exceeded: 1880ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_concat_built_path_frontier_not_classified_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_concat_built_path_frontier_not_classified_holds	eval budget exceeded: 2039ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.effect_reach_test.effect_reach_live_03_normalize_witness_derived_host_reading_holds				other	other	v2.test.claim.effect_reach_test.effect_reach_live_03_normalize_witness_derived_host_reading_holds	eval budget exceeded: 2005ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.emit.produced_decl_support_preserved (witness); bare=render		std.layout.render	std.layout	call_contract_mismatch	bare_name_binding	v2.test.emit.produced_decl_support_preserved.produced_decl_support_survives_augmentation	call contract mismatch calling 'render': missing required argument 'proto' (1 of 2 required argument(s) supplied)
v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.nested_generic_contract_round_trip_preserves_keyed_authority				other	other	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.nested_generic_contract_round_trip_preserves_keyed_authority	witness receipt wall budget exceeded: 772ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_target_bundle_round_trip_preserves_im_vector_policy				other	other	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_target_bundle_round_trip_preserves_im_vector_policy	eval budget exceeded: 808ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_debug_contract_requires_clone_from_im_vector_authority				other	other	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_debug_contract_requires_clone_from_im_vector_authority	eval budget exceeded: 803ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_partial_eq_contract_requires_clone_from_im_vector_authority				other	other	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_partial_eq_contract_requires_clone_from_im_vector_authority	eval budget exceeded: 919ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_serialize_contract_requires_clone_from_im_vector_authority				other	other	v2.test.claim.emit.trait_derive_supplemental_generic_bound_contract.rust_vec_serialize_contract_requires_clone_from_im_vector_authority	eval budget exceeded: 881ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
